,Phrases
0,chinese
1,fast
2,thai
3,bar
4,fry
5,fried
6,dessert
7,dinner
8,lunch
9,soup
10,green
11,mexico
12,italy
13,mexican
14,vietnamese
15,buffet
16,takeout
17,casual
18,pub
19,bakery
20,indian
21,classic
22,modern
23,french
24,italian
25,asian
26,birthday
27,vegetarian
28,downtown
29,bbq
30,japanese
31,breakfast
32,seafood
33,brunch
34,taco
35,curry
36,potato
37,crispy
38,shrimp
39,bread
40,chocolate
41,ramen
42,pizza
43,beer
44,sandwich
45,cake
46,sushi
47,egg
48,fish
49,coffee
50,ice
51,burger
52,cheese
53,cream
54,salad
55,pork
56,beef
57,tea
58,noodle
59,meat
60,rice
61,chicken
62,dim sum
63,cocktail
64,ice cream
65,squid
66,tempura
67,tapioca
68,donut
69,olive
70,espresso
71,octopus
72,croissant
73,banana
74,cookie
75,honey
76,cone
77,scallop
78,congee
79,skewer
80,miso
81,lettuce
82,pop
83,strawberry
84,apple
85,avocado
86,juice
87,booth
88,calamari
89,kimchi
90,patty
91,sesame
92,tart
93,four
94,crepe
95,tuna
96,wrap
97,lemon
98,vegan
99,coconut
100,corn
101,poutine
102,toast
103,belly
104,bubble
105,oyster
106,cocktail
107,cheesecake
108,fruit
109,sausage
110,latte
111,matcha
112,pancake
113,duck
114,tofu
115,sashimi
116,lamb
117,mango
118,bacon
119,tomato
120,lobster
121,wine
122,rib
123,waffle
124,bun
125,wing
126,dumpling
127,bean
128,steak
129,salmon
130,pasta
131,milk
132,fried chicken
133,milk tea
134,green tea
135,bubble tea
136,pork belly
137,spring roll
138,fried rice
139,pork bone soup
140,street
141,parking
142,store
143,shopping
144,nail
145,theatre
146,skin
147,movie
148,corner
149,neighbourhood
150,washroom
151,window
152,station
153,chair
154,queen
155,king
156,markham
157,plaza
158,market
159,spring
160,mall
161,quick
162,clean
163,busy
164,fresh
165,friendly
166,convenient
167,refill
168,soggy
169,greeted
170,bright
171,crowded
172,overpriced
173,cheaper
174,immediately
175,dog
176,quiet
177,efficient
178,spacious
179,pleasant
180,fair
181,complaint
182,disappointing
183,fancy
184,comfortable
185,dark
186,cozy
187,helpful
188,tax
189,nicely
190,honestly
191,pricey
192,yummy
193,music
194,chip
195,attentive
196,reasonable
197,wait
198,traditional
199,spicy
200,flavorful
201,fluffy
202,smooth
203,frozen
204,sweetness
205,art
206,mayo
207,gravy
208,healthy
209,rare
210,refreshing
211,crunchy
212,chili
213,crust
214,stick
215,steamed
216,greasy
217,dip
218,gelato
219,salt
220,stuffed
221,topped
222,smoked
223,roasted
224,seasoned
225,chewy
226,pot
227,solid
228,sour
229,baked
230,juicy
231,creamy
232,deep fried
